Date,AAPL_News_Volume,AAPL_Sentiment_Tone,MSFT_News_Volume,MSFT_Sentiment_Tone,GOOGL_News_Volume,GOOGL_Sentiment_Tone,NVDA_News_Volume,NVDA_Sentiment_Tone,META_News_Volume,META_Sentiment_Tone
2020-01-01,45,-0.1895715364673103,874,1.2399013262212766,20,0.6983028898551841,40,1.243242928254239,6799,-1.2337313768568294
2020-01-02,163,-0.17625321643957031,1227,1.4642805614549874,89,-0.5207268406016006,144,2.368613776132768,9957,-1.6020782138592673
2020-01-03,143,0.30162643316205573,1172,1.3612305671175569,42,-0.5268088584636548,109,1.5678024459897173,8693,-1.3211462478873217
2020-01-04,52,0.1338567890992644,813,1.219360174996477,11,-0.18746158001311924,50,1.4408600658953405,6228,-1.596633985493529
2020-01-05,43,1.2919831056328943,555,1.7956384387571007,10,-0.3314065065437831,65,1.7118079708894534,6261,-1.5772711518994396
2020-01-06,153,1.106089707187302,1134,1.4053072108702183,39,0.09165569528138306,407,1.2887900841439883,8639,-0.7494813222422552
2020-01-07,139,0.4089936428345948,1457,1.2098062038967001,52,-0.24566154219951894,371,1.5078550644101676,10133,-1.123367851119775
2020-01-08,128,0.5041141732146152,1150,1.6239157137327247,38,0.7186200179672894,170,1.1822152271589716,11717,-1.619070508247437
2020-01-09,223,-0.3299269670385726,1273,1.3687857426664247,96,-0.38867048206081534,185,0.7850261071393849,11571,-1.5317879569453243
2020-01-10,213,-0.2831322002547971,1162,1.3008723594294591,87,-0.6472278801289331,192,0.4678507929692874,10113,-0.989808267818999
2020-01-11,51,0.39015842388638133,655,1.8699331241718633,16,-1.1598897463755997,52,1.6952737301416891,7352,-1.724422448088414
2020-01-12,30,0.09648857842238462,661,2.0471641982214246,9,0.4133877018869605,43,0.859339289190758,5947,-1.6884141799037489
2020-01-13,169,-0.5666615396758853,1708,1.2007067227760542,38,0.7707343406359967,117,1.3985282896332083,9120,-0.9384841494849857
2020-01-14,262,-0.890878453713747,2995,0.3880599662969538,62,-0.2801227747939462,103,1.3727105310794503,10016,-0.8355714624450256
2020-01-15,229,-1.3495657508419006,2065,0.24487831311851627,41,0.180316046362408,154,0.26108840257234106,10699,-0.7575243138049632
2020-01-16,209,0.21583841356859135,2115,0.8920292783160559,67,0.44119008962169864,107,1.6967034282141698,9985,-0.5651045796872519
2020-01-17,164,0.06779552067597713,2505,0.6061164957650147,140,0.34906684227635904,92,0.9213348446326695,10413,-0.8422664949743196
2020-01-18,63,0.234419888545281,982,1.151196619551111,41,-0.7631777839201223,50,0.8062385713489102,6129,-0.895304069941188
2020-01-19,21,-0.2014292027866285,927,1.2071529421501366,6,-1.2522403829567037,40,0.5231423528152036,5823,-1.3408180032557016
2020-01-20,82,-0.5674067573072958,1357,0.9890912326893816,50,-1.1625479969525496,84,0.7329132964188629,8737,-0.945906270350141
2020-01-21,224,-0.7210885995880417,1553,1.3663784346324712,118,-1.8544587145707494,113,1.2538216909519904,10036,-1.012095245533502
2020-01-22,242,0.232816120505786,1675,0.8522491207572751,120,-0.999206647208685,87,1.3562537152596956,10667,-0.826133924086722
2020-01-23,130,-0.21076943881745466,1514,1.059117156205577,71,-0.6600489310067407,98,1.3173168893058989,9893,-0.7232775015764941
2020-01-24,152,-0.5672799595909994,1239,1.1116766819101802,77,-0.10722063617364422,157,0.04565049412714933,9787,-0.6467392104774711
2020-01-25,49,-0.07419465360655589,679,2.0526076992826865,9,0.25016754410166214,27,1.4245147832998935,6251,-0.6100417093710199
2020-01-26,17,-0.8079955287634707,584,1.7713961746619988,29,-0.24692469227067806,28,0.3596505804729776,5149,-1.3419580289828148
2020-01-27,172,-1.1939093786267758,1319,0.4941035595732052,136,-1.609763446035088,80,0.9771504494685751,8509,-0.9516216864019739
2020-01-28,271,-0.6178237753083149,1601,0.8519648068704635,33,-0.47750070311859727,83,1.0567651094568986,10658,-1.1475190084607871
2020-01-29,434,-0.7694832733715292,1846,0.6723771521355711,75,-0.8901309545951733,124,-0.024378802474147747,11222,-1.1027810727644751
2020-01-30,360,-0.45921422417218133,2510,0.6950648722993842,235,-3.5895001121168293,97,1.2881506369986866,11228,-1.1317234605724342
2020-01-31,193,-0.5424818275247509,1857,1.0953193621507862,224,-3.2014394500693575,193,-1.0889916546211942,9827,-1.1711995168752614
2020-02-01,277,-4.118665243008018,694,0.8801939742619362,82,-4.24550477577456,67,-1.3513264422067526,6135,-1.0218363818377558
2020-02-02,182,-4.683131112394074,671,0.1945007810110013,14,-2.5453842018464448,29,0.5918296617057132,5510,-1.7864272101735936
2020-02-03,205,-1.5856398273934138,1948,1.0703225206294982,136,-1.9968982254880354,69,0.5265848500401054,9154,-1.035734344187594
2020-02-04,265,-0.8115150387904361,2086,0.48691065030569325,370,-0.9948682485530617,199,0.8685829770284529,11138,-0.8823262683387648
2020-02-05,161,-0.7796761141626247,1845,0.3387954875625098,97,-0.5843832610610658,169,1.1762311062163486,9998,-0.8812335993981698
2020-02-06,100,0.5418262221374751,1416,0.811515170156228,89,-0.023721193772954632,77,1.420511372703455,10825,-0.8194714907952638
2020-02-07,186,-0.416062577332971,1164,0.9076190894657076,67,0.8633368740750444,74,0.9953256795560678,9409,-1.0994319773571415
2020-02-08,211,-4.147184260365887,631,1.1703465832457027,8,-1.3073635204404397,136,-0.9523081090250144,7640,-2.2529643669571153
2020-02-09,110,-3.058413030299661,468,1.3841127269891231,8,-1.3185420590621824,168,-1.2836689073970633,7584,-2.945419499746034
2020-02-10,229,-1.851597921888612,1539,0.55057689708054,47,-0.9205146766658294,539,-1.6088176018731097,8555,-1.0176536009487733
2020-02-11,175,-0.10269097970228974,1858,0.4908018039771838,123,-0.8399230822420237,424,-1.1068686273409047,10080,-0.843237219326781
2020-02-12,193,-0.34854091916229113,1782,0.2910966094943808,80,-0.7243747190402096,470,-1.773770800221072,11051,-0.8685641751584656
2020-02-13,117,-0.38442284887252376,1580,0.35367237024308884,34,-1.3224733333799965,283,-1.35945872393715,11732,-1.1160100280868266
2020-02-14,102,-0.5527934672496939,1524,0.4646995443379405,48,-0.3616662352514874,297,-0.05263534907745703,10269,-0.8560406350811905
2020-02-15,52,-0.7812707886263651,613,0.836841873600003,24,-0.11576055160083845,103,-1.0436087076976508,6314,-1.553806874282221
2020-02-16,20,-0.7540467907618981,593,0.8283567067885829,6,0.04579195224673899,55,-0.40077971368066534,5690,-1.3483736822328956
2020-02-17,175,-1.3552088447883643,1046,0.7380070376696404,29,0.7596454817744606,147,0.5303713721896248,8001,-1.35083324718395
2020-02-18,1753,-3.1041566767130324,1487,0.4777564278535128,63,-0.28475913581038315,150,0.985267705984954,9869,-1.066217601021826
2020-02-19,498,-2.5060260381474126,1200,1.3274323471614036,77,-0.9092765073423564,233,-0.7485590401173663,10252,-1.1793235658998833
2020-02-20,277,-1.6835331554223512,1444,1.0160193319778794,114,-1.0677723695402832,282,-0.10843377577480245,10229,-1.2438143609528085
2020-02-21,450,2.363340653525274,1439,0.6815480699723669,96,-1.6982002410045924,191,-1.0427285870610135,10113,-1.0641133530618636
2020-02-22,150,-0.6681424191241601,665,0.1824904992882199,20,-1.728772479367186,97,-1.0058814419112774,7651,-1.6111967738238069
2020-02-23,52,-0.1394783166555819,553,0.6833278039524413,14,-2.8989493909025583,20,0.23976061560120737,5688,-0.7977951340107148
